status,event_id,name,event_type,pages,step_id,group,initial_state,start_ms_relative_to_list,event_delay_ms_separate,item_delay_ms,duration_ms,action,target_relationship,target,easing,exact_properties_and_units,breakpoints,source,continuous_group,keyframe_percent,continuous_event_settings
derived,e-15,Nav Dropdown Closes,DROPDOWN_CLOSE,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-2-n,0,False,0,,0,300,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 300, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""heightValue"": 0, ""widthUnit"": ""PX"", ""heightUnit"": ""px"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-15,Nav Dropdown Closes,DROPDOWN_CLOSE,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-2-n-2,0,False,0,,0,200,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 200, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": 0, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-28,e-28,SCROLL_INTO_VIEW,[],e-28-derived-step-0,0,True,,500,0,0,STYLE_OPACITY,True,"{""id"": ""N/A"", ""appliesTo"": ""TRIGGER_ELEMENT"", ""useEventTarget"": true}",,"{""delay"": 0, ""duration"": 0, ""target"": {""id"": ""N/A"", ""appliesTo"": ""TRIGGER_ELEMENT"", ""useEventTarget"": true}, ""value"": 0}","[{""key"": ""main"", ""min"": 992, ""max"": 10000}, {""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-28,e-28,SCROLL_INTO_VIEW,[],e-28-derived-step-1,1,False,0,500,0,1000,STYLE_OPACITY,True,"{""id"": ""N/A"", ""appliesTo"": ""TRIGGER_ELEMENT"", ""useEventTarget"": true}",outQuart,"{""delay"": 0, ""easing"": ""outQuart"", ""duration"": 1000, ""target"": {""id"": ""N/A"", ""appliesTo"": ""TRIGGER_ELEMENT"", ""useEventTarget"": true}, ""value"": 1}","[{""key"": ""main"", ""min"": 992, ""max"": 10000}, {""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-34,Nav Dropdown Opens,DROPDOWN_OPEN,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n,0,True,,,0,500,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 500, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": 0, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-34,Nav Dropdown Opens,DROPDOWN_OPEN,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-2,0,True,,,0,500,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 500, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""heightValue"": 0, ""widthUnit"": ""PX"", ""heightUnit"": ""px"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-34,Nav Dropdown Opens,DROPDOWN_OPEN,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-3,1,False,0,,0,200,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 200, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": -180, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-34,Nav Dropdown Opens,DROPDOWN_OPEN,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-4,1,False,0,,0,300,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 300, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""widthUnit"": ""PX"", ""heightUnit"": ""AUTO"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-37,Nav Dropdown Opens,MOUSE_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n,0,True,,,0,500,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 500, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": 0, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-37,Nav Dropdown Opens,MOUSE_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-2,0,True,,,0,500,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 500, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""heightValue"": 0, ""widthUnit"": ""PX"", ""heightUnit"": ""px"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-37,Nav Dropdown Opens,MOUSE_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-3,1,False,0,,0,200,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 200, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": -180, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-37,Nav Dropdown Opens,MOUSE_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n-4,1,False,0,,0,300,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 300, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""widthUnit"": ""PX"", ""heightUnit"": ""AUTO"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-38,Nav Dropdown Closes,MOUSE_SECOND_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-2-n,0,False,0,,0,300,STYLE_SIZE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 300, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-list"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f23a""]}, ""heightValue"": 0, ""widthUnit"": ""PX"", ""heightUnit"": ""px"", ""locked"": false}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-38,Nav Dropdown Closes,MOUSE_SECOND_CLICK,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-2-n-2,0,False,0,,0,200,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 200, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": 0, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
derived,e-39,Nav Dropdown Opens,MOUSE_OVER,"[""/"", ""/chi-siamo"", ""/condizioni-di-utilizzo"", ""/contatti"", ""/domande-e-risposte"", ""/faq"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/informazioni/alloggio"", ""/informazioni/garanzie"", ""/informazioni/listino-prezzi"", ""/informazioni/pagamento-flessibile"", ""/informazioni/prima-visita-gratuita"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/trasporto"", ""/prestazioni-dentali"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/i-nostri-specialisti"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/testimonianze""]",a-n,0,True,,,0,500,TRANSFORM_ROTATE,CHILDREN,"{""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}",,"{""delay"": 0, ""easing"": """", ""duration"": 500, ""target"": {""useEventTarget"": ""CHILDREN"", ""selector"": "".nav-dropdown-icon"", ""selectorGuids"": [""e6e85a02-c3d6-08eb-5df3-a2c1c099f20b""]}, ""zValue"": 0, ""xUnit"": ""DEG"", ""yUnit"": ""DEG"", ""zUnit"": ""deg""}","[{""key"": ""main"", ""min"": 992, ""max"": 10000}, {""key"": ""medium"", ""min"": 768, ""max"": 991}, {""key"": ""small"", ""min"": 480, ""max"": 767}, {""key"": ""tiny"", ""min"": 0, ""max"": 479}]","[""raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js""]",,,
